pid,num,question,answer
100020092372,3,音量大不大,挺大的
100020092372,3,音量大不大,够用
100020092372,3,音量大不大,还可以
100020092372,3,音量大不大,够用了
100020092372,3,音量大不大,还可以。
100020092372,3,音量大不大,还行
100041852026,4,唱歌效果好吗,12英寸重低音，低音很猛。高中低音声音层次也分明。唱歌人声也非常不错。总的来讲是一款不错的音响，适合家里K歌，户外跳舞K歌用。
100041852026,5,我去年买的音箱用了一年多，电池也不行了，显示屏也有横线显示能处理吗,无回答
100041852026,6,能连接投影仪吗？,无回答
100041852026,7,请问有几个麦克风,无回答
100041852026,8,音响效果怎么样,无回答
100041852026,9,刚才问的问题你收到没有,无回答
100023150449,3,无线蓝牙的声音有延迟吗？因为打射击游戏,蓝牙肯定有延迟，我建议你还是连接线用
100023150449,3,无线蓝牙的声音有延迟吗？因为打射击游戏,玩不了，听见人已经贴脸了
100023150449,3,无线蓝牙的声音有延迟吗？因为打射击游戏,没打过，平时听音乐，感觉没啥延迟
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,听得到，无杂音。就是线长一般般吧。可能才1.5米左右？
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,音质挺好的。一点杂音都没有。用了一个月了
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,听的还挺不错的
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,声音比较粗，不太喜欢准备换了
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,音质比较不好
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,感觉还可以，目前用起来没有杂音，我用来看哔哩哔哩视频和打游戏
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,声音不如惠普那款，但是声音大小还可以。
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,一般般
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,一分钱一分货，对得起这个价格
100020092372,4,音质如何 要求不高 起码听的清歌词吧 别太杂,还是对得起价格
100023150449,4,有底噪吗,这玩意不就是买个好看吗？
100023150449,4,有底噪吗,不知道啥是底噪，我只知道如果出现电流声，就连接到usb扩展上面就没声了
100023150449,4,有底噪吗,不懂啥是底噪，这me便宜的音响别要求太多了
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,这个是那个最基础的，你插上手机，电脑都可以用。不是蓝牙的，所以没有提示音，音质可以呢。
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有的，插上电脑直接用
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有语音，可以调音量
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有。跟你的电脑连一起，电脑什么声音它就什么声音
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有提醒，插上就能用
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,挺好的
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有提示声，了调节音量
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,无语音提示
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,没有
100020092372,5,音箱开机有语音提醒吗？可以调小这个开机语音吗？,还行，
100023150449,5,怎样调节音量,不能调，只能用电脑显示器上的那个小喇叭图标调。
100013599725,1,麦克风怎么样，语音通话能不能听清楚,我买的最新款，麦也不行，对面听不清
100023150449,5,怎样调节音量,只可以调电脑诶
100013599725,1,麦克风怎么样，语音通话能不能听清楚,我这个收音不清晰应该怎么设置
100013599725,1,麦克风怎么样，语音通话能不能听清楚,打游戏对方听到声音不是很大
100013599725,1,麦克风怎么样，语音通话能不能听清楚,麦克风可以，通话清楚。
100013599725,1,麦克风怎么样，语音通话能不能听清楚,声音小，而且不防噪
100013599725,1,麦克风怎么样，语音通话能不能听清楚,没试过，反正打游戏时不时断声音
100013599725,1,麦克风怎么样，语音通话能不能听清楚,不太清楚，真的不太好用
100013599725,1,麦克风怎么样，语音通话能不能听清楚,内置麦是真的辣鸡，声音又糊又小
100013599725,1,麦克风怎么样，语音通话能不能听清楚,游戏开黑，根本不行，对方根本听不清这边说什么，垃圾。游戏开黑请避坑。
100020092372,6,电脑了连接吗,可以的
100020092372,6,电脑了连接吗,可以连接
100020092372,6,电脑了连接吗,链接了，音质挺不错的
100020092372,6,电脑了连接吗,可以连接电脑
100020092372,6,电脑了连接吗,可以
100020092372,6,电脑了连接吗,连了
100020092372,6,电脑了连接吗,这本来就是连电脑的。
100020092372,6,电脑了连接吗,我就是拿来放电脑外音的，连的联想的台式机
100020092372,6,电脑了连接吗,可以还行
100020092372,6,电脑了连接吗,可以连接，效果很好的，声音很清晰
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,PS5无法连接蓝牙
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,有
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,有电池，可以户外蓝牙连接播放
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,可线路输入，可连接蓝牙，肯定是有电池的
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,有电池
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,可以的，有蓝牙模式，连接电脑也行，声音不小，
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,可以，是充电的
100013599725,2,有电池吗？可以带它到公园嗨皮吗？,有内置电池的
100023150449,6,装了之后win11右下角usb图标一直存在，是不是都这样？看着好难受,我也有这个图标，看着真难受，逼死强迫症
100023150449,6,装了之后win11右下角usb图标一直存在，是不是都这样？看着好难受,是的是的，一直在
100020092372,7,你好，可以连接iPad吗,可以的
100020092372,7,你好，可以连接iPad吗,你的iPad要是有耳机孔应该问题不大
100020092372,7,你好，可以连接iPad吗,不行，接口不一样，就是连电脑使用的
100020092372,7,你好，可以连接iPad吗,可以，只要你有耳机孔，再加一个USB接口供电就可以了
100020092372,7,你好，可以连接iPad吗,要买转接头
100020092372,7,你好，可以连接iPad吗,不可以，就是个最普通的小喇叭
100020092372,7,你好，可以连接iPad吗,可以，用转接口
100020092372,7,你好，可以连接iPad吗,不行
100023150449,7,内置麦克风上网课能清晰对话吗,打游戏说话声音很杂很小
100023150449,7,内置麦克风上网课能清晰对话吗,可以
100020092372,8,质量行吗 容易坏吗,用了一个月了，目前挺好的。性价比很高
100020092372,8,质量行吗 容易坏吗,我的感觉不错
100020092372,8,质量行吗 容易坏吗,几个月了，没坏，音质也没啥大问题，放心吧
100020092372,8,质量行吗 容易坏吗,还好目前使用当中
100020092372,8,质量行吗 容易坏吗,现在用感觉还可以，音质没有杂音，后续让时间来证明一切
100020092372,8,质量行吗 容易坏吗,还行
100020092372,8,质量行吗 容易坏吗,还行。用着还可以
100020092372,8,质量行吗 容易坏吗,刚买没多少天，用着还行
100020092372,8,质量行吗 容易坏吗,还好
100020092372,8,质量行吗 容易坏吗,还行吧，我的没有坏，
100013599725,4,台式机直接插上就能用吗,是的，USB口连接，插上就能用。但是好像默认是蓝牙模式，连接以后，点一下音箱上的&ldquo;M&rdquo;，就换成USB连接模式了。
100013599725,4,台式机直接插上就能用吗,可以
100013599725,4,台式机直接插上就能用吗,是的，插上以后逆时针转旋钮就能直接用了，音频和电源一线通。
100013599725,4,台式机直接插上就能用吗,可以用
100023150449,8,Ps4能插上就用吗？,是的
100020092372,9,可以差内存卡嘛,不可以
100020092372,9,可以差内存卡嘛,不可以，
100020092372,9,可以差内存卡嘛,不可以
100020092372,9,可以差内存卡嘛,不可以
100020092372,9,可以差内存卡嘛,不可以
100020092372,9,可以差内存卡嘛,这是最普通的音响
100020092372,9,可以差内存卡嘛,不能，音响差内存卡干嘛
100020092372,9,可以差内存卡嘛,没有
100020092372,9,可以差内存卡嘛,不能吧，我这款没有，你可以问问客服
100020092372,9,可以差内存卡嘛,不能
100013599725,5,打游戏跟笔记本声音比怎么样？是差不多还是？,声音可以
100013599725,5,打游戏跟笔记本声音比怎么样？是差不多还是？,跟台式机桌面音响一样吧没啥差别蓝牙连接看电影感觉不到延迟
100013599725,5,打游戏跟笔记本声音比怎么样？是差不多还是？,还是好很多，颜值还不错，但是缺点就是游戏开麦的时候朋友说麦克风声音有点小
100013599725,5,打游戏跟笔记本声音比怎么样？是差不多还是？,好多了
100023150449,9,我想问你们，打英雄联盟，用上这个音响之后，别人听不到我讲话，换上自己的耳机，别人也听不到了，怎么办？,切换一下麦克风输入
100023150449,10,请问耳机线接口有什么用啊？电脑上也可以直接插 没搞懂作用是什么,无回答
100013599725,6,想问一下，不使用的时候，会有嗡嗡的响声是正常的嘛？,没得
100013599725,6,想问一下，不使用的时候，会有嗡嗡的响声是正常的嘛？,不会
100013599725,6,想问一下，不使用的时候，会有嗡嗡的响声是正常的嘛？,不正常    看看有影响噪音的电器没  无线电设备之类的 没有的话换货就可以了
100013599725,6,想问一下，不使用的时候，会有嗡嗡的响声是正常的嘛？,我的没听到有这个声
100020092372,10,好安装吗,好
100020092372,10,好安装吗,简单的跟
100020092372,10,好安装吗,应该没比这更简单的了
100020092372,10,好安装吗,非常简单
100020092372,10,好安装吗,很简单的
100020092372,10,好安装吗,好装
100020092372,10,好安装吗,插上就行
100020092372,10,好安装吗,好装
100020092372,10,好安装吗,还行
100020092372,10,好安装吗,好安装，手机充电器头就能用了，然后插在手机的耳机孔里面就可以放了
100013599725,7,有蓝牙吗？,有，这个好像能多连。电脑和手机都可以
100013599725,7,有蓝牙吗？,有蓝牙模式和有线连接模式
100013599725,7,有蓝牙吗？,有蓝牙功能
100013599725,7,有蓝牙吗？,有
100013599725,7,有蓝牙吗？,有
10053456970766,1,音质和续航怎么样,这款发烧友推荐给我的，各方面都比较满意
10053456970766,1,音质和续航怎么样,我使用半个月才充一次，晚上听一下，音质可以
10053456970766,1,音质和续航怎么样,音质清晰，性价比高，特别是低音很强
10053456970766,2,蓝牙连接会断断续续不？低音觉得可以，人声怎么样呢,不会，人声很清晰
10053456970766,2,蓝牙连接会断断续续不？低音觉得可以，人声怎么样呢,蓝牙5.3的都很稳不掉线！
100008806027,1,笔记本能用吗,可以
100008806027,1,笔记本能用吗,可以用啊，一根USB接口一根耳机接口
100008806027,1,笔记本能用吗,当然可以啊！有3.5mm音源孔就可以
100008806027,1,笔记本能用吗,可以用
100008806027,1,笔记本能用吗,usb接口可用
100008806027,1,笔记本能用吗,可以啊，USB接口，忘记无线可以不可以了
100008806027,1,笔记本能用吗,能用，听个响
100008806027,1,笔记本能用吗,能
100008806027,1,笔记本能用吗,我就是专门给r7000用的
100008806027,1,笔记本能用吗,可以，但是不建议，他要占一个耳机孔加一个USB口，笔记本感觉不是很方便。
100013599725,9,想不通为啥一个连着电脑的音响要内置电池，难道指望停电后继续用音响听歌吗？还是准备拿着音响出门蹦迪？,强调便携性，有问题吗
100013599725,9,想不通为啥一个连着电脑的音响要内置电池，难道指望停电后继续用音响听歌吗？还是准备拿着音响出门蹦迪？,可以连接手机蓝牙听歌，提升便携性
100013599725,9,想不通为啥一个连着电脑的音响要内置电池，难道指望停电后继续用音响听歌吗？还是准备拿着音响出门蹦迪？,可能设计的时候想多用途，加上这点东西，成本也不会提高很多
100013599725,9,想不通为啥一个连着电脑的音响要内置电池，难道指望停电后继续用音响听歌吗？还是准备拿着音响出门蹦迪？,自我感觉这个是笔记本专用的，可以随身携带方便，
10053456970766,3,接线有没有电流声。低噪声大吗,还真没，我连过电脑，比我老款电脑音响好
10053456970766,3,接线有没有电流声。低噪声大吗,没有啊！感受不到
100008806027,2,请问音量够大吗？,音量开一半音质还不错，声音也很大，再调大些就会损音了
100008806027,2,请问音量够大吗？,不够，跟我笔记本电脑差不多大。就是音质有点不一样，我还是更喜欢笔记本的音质
100008806027,2,请问音量够大吗？,很喜欢，就是插卡时如果再有个液晶屏显示歌名就更完美了！
100008806027,2,请问音量够大吗？,房间书房用够了声音可以
100008806027,2,请问音量够大吗？,物超所值，音量音效都不错
100008806027,2,请问音量够大吗？,必须的
100008806027,2,请问音量够大吗？,挺大的
100008806027,2,请问音量够大吗？,够大
100008806027,2,请问音量够大吗？,够大
100008806027,2,请问音量够大吗？,大
100013599725,10,插上后计算机里面识别出来一个u盘隐藏分区，大家都这样吗,磁盘管理里面禁用就行了，不影响使用
100013599725,10,插上后计算机里面识别出来一个u盘隐藏分区，大家都这样吗,没有啊
100013599725,10,插上后计算机里面识别出来一个u盘隐藏分区，大家都这样吗,是的。电脑上多出一个空的分区。一开始我还奇怪哪里来的。后来发现音响插上去就有。。。
100013599725,10,插上后计算机里面识别出来一个u盘隐藏分区，大家都这样吗,啥？没有啊
10053456970766,4,打游戏看电影效果如何,发烧机用来看电影，绰绰有余
10053456970766,4,打游戏看电影效果如何,很震撼~可以开很大声，就怕打扰到邻居
100008806027,3,音质单薄吗？,反正比我的Thinkpad P15V的本身音质好太多了。我就是在单位中午边吃饭边看新闻用的，太完美了。
100008806027,3,音质单薄吗？,这样的价买到就好了 虽然没有左右
100008806027,3,音质单薄吗？,音质不错
100008806027,3,音质单薄吗？,挺好的
100008806027,3,音质单薄吗？,非常单薄
100008806027,3,音质单薄吗？,我买了放办公室用的，办公、追剧够用。这个价格音质应该好不到哪里去，但性价比真挺高的。
100008806027,3,音质单薄吗？,还不错吧这个价要啥直行车啊
100008806027,3,音质单薄吗？,就这样的价位，用来当游戏机外放音响了
100008806027,3,音质单薄吗？,这种问题因人而异  只能说比显示器自带的好一点
100008806027,3,音质单薄吗？,这还用问吗？
10053456970766,5,G4和M5哪个听起来比较好一点呢,我买的G4非常不错，M5你要去问客服了
100008806027,4,音质怎样？,不用的时候，杂音非常严重，实在受不了了，准备换了
100008806027,4,音质怎样？,中高音不错，人声清晰，有一点塑料共震，吸音棉放少或没放。
100008806027,4,音质怎样？,高音偏高，低音有一点都算我输
100008806027,4,音质怎样？,很好！声音大
100008806027,4,音质怎样？,能看电视电影
100008806027,4,音质怎样？,一般般
100008806027,4,音质怎样？,我觉得挺好
100008806027,4,音质怎样？,非常好，声音也可以调很大
100008806027,4,音质怎样？,普通音响水平
100008806027,4,音质怎样？,一般般啦！
10053456970766,6,音质好不好？,好！朋友推荐购买的
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,大哥，那是你主板没设置好，有的主板默认关机以后usb不断电的，进bios设置一下就可以了
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,不断电有绿光，声音可以调最小
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,听个响就行了，反正我觉得物有所值。我每晚都断电，不冒绿光，无响声
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,我准备买个usb延长线，不用的时候直接扒了
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,不拔线就一直亮着，虽然电脑已经关机了，这个音响有杂音，和收音机似的
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,有绿光，没响声
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,这个麦克风不行 将就用吧
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,电流声吧，这个跟自己的电脑主机有关系，我的还能收到广播信号，我家隔壁就是广播电台。
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,是的，有光，但没声音，没有那种杂声
100013019911,1,你们是不是只要不拔usb线和3.5mm线就会一直冒绿光和有响声,有杂音 冒绿光
10053456970766,7,亲们，这个是正品吗？,官方旗舰店来着，肯定的
10053456970766,7,亲们，这个是正品吗？,是的
10053456970766,8,不联网能用？换新延保服务有人用吗？,无回答
10053456970766,9,音质好不好？,无回答
10053456970766,10,音质好不好？,无回答
100008806027,5,推荐买吗  差评里说杂音大的很多,有需求就买，觉得不好就不买，见仁见智，用着还行，就这价位，你还想能听出花来？
100008806027,5,推荐买吗  差评里说杂音大的很多,没有杂音啊，那都是黑粉差评可能
100008806027,5,推荐买吗  差评里说杂音大的很多,还可以呀，没什么杂音，也没开到最大
100008806027,5,推荐买吗  差评里说杂音大的很多,好不好先不说，差点被电死
100008806027,5,推荐买吗  差评里说杂音大的很多,开始会有一些，有了段时间，调整一下位置会好些
100008806027,5,推荐买吗  差评里说杂音大的很多,还行，调到中间没什么杂音，调到最大会有
100008806027,5,推荐买吗  差评里说杂音大的很多,没发现杂音
100008806027,5,推荐买吗  差评里说杂音大的很多,已经很好了，值得购买
100008806027,5,推荐买吗  差评里说杂音大的很多,用了三天有电流滋滋声，然后就没声音了
100008806027,5,推荐买吗  差评里说杂音大的很多,还行
100013019911,2,电脑可以用吗？,可以用的
100013019911,2,电脑可以用吗？,可以，麦有电流，但能接受。
100013019911,2,电脑可以用吗？,可以
100013019911,2,电脑可以用吗？,就是电脑用的啊
100013019911,2,电脑可以用吗？,这就是电脑用的 就是麦不太行
100013019911,2,电脑可以用吗？,可以用
100013019911,2,电脑可以用吗？,不知道别人，我的有很严重的电流音，整得头大，反正我退货了
100013019911,2,电脑可以用吗？,可以的，我就是买给孩子上网课用的，挺好用的。还不站地方。
100013019911,2,电脑可以用吗？,可以
100013019911,2,电脑可以用吗？,可以用
100008806027,6,此款有电流声吗,丢一边吃灰了，全是电流声
100008806027,6,此款有电流声吗,我点
100008806027,6,此款有电流声吗,非常大
100008806027,6,此款有电流声吗,没有，挺好的！
100008806027,6,此款有电流声吗,插上线就没有，我睡了一晚上都没听到
100008806027,6,此款有电流声吗,没啥感觉
100008806027,6,此款有电流声吗,目前没有听见
100008806027,6,此款有电流声吗,有的，可能和插口也有关系，但是我的确实有电流声，实在受不了
100008806027,6,此款有电流声吗,有
100008806027,6,此款有电流声吗,有
100013019911,3,音质怎么样,买的带麦版，收到直接跟大电流声服了
100013019911,3,音质怎么样,为什么我的麦克风没有声音，怎样才能有声音。
100013019911,3,音质怎么样,音质可以的  与价格成正比
100013019911,3,音质怎么样,音质还是不错的。
100013019911,3,音质怎么样,还行吧
100013019911,3,音质怎么样,还可以吧
100013019911,3,音质怎么样,还行吧 对的起这个价格
100013019911,3,音质怎么样,就是这个价位的正常水平，没啥可期待的，也不差
100013019911,3,音质怎么样,不错很好
100013019911,3,音质怎么样,本人觉得还不错
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,刚买回来  调到最大  立马破音
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,没有
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,我的也是，有破音
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,音效不敢恭维
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,声音很一般
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,已退货
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,没有，应该是音源问题，可以插手机的耳机孔上试试，手机播放不会有破音
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,申请换一个或者维修
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,暂时没有
100008806027,7,我买的没用多久就有破音，你们的有这现象吗？,没有
100008806027,8,你们用了多久坏的,不到一个月，就没声音了，嗡嗡的
100008806027,8,你们用了多久坏的,没坏，用了一个多月了吧
100008806027,8,你们用了多久坏的,没音质可言 听个响
100008806027,8,你们用了多久坏的,刚买了不到一个月，还没坏，估计能用几年吧
100008806027,8,你们用了多久坏的,蛮久了 还挺好的
100008806027,8,你们用了多久坏的,一般情况下还好，质量有保证的
100008806027,8,你们用了多久坏的,感觉挺不错的  一直在用也没坏
100008806027,8,你们用了多久坏的,用了好久还没坏哦
100008806027,8,你们用了多久坏的,还没坏 用了3个月了
100008806027,8,你们用了多久坏的,才用没多长时间
100013019911,5,麦克风怎么样,麦克风不错。
100013019911,5,麦克风怎么样,没试过
100013019911,5,麦克风怎么样,音箱上不带开关，需要关一次主机拔一次插口不嫌烦就买
100013019911,5,麦克风怎么样,还行
100013019911,5,麦克风怎么样,一般，有电流
100013019911,5,麦克风怎么样,还行，输出音质还行
100013019911,5,麦克风怎么样,质量一般队友总说听不清
100013019911,5,麦克风怎么样,主要用音响
100013019911,5,麦克风怎么样,还行
100013019911,6,是USB接电脑的吗,我这个不是
100013019911,6,是USB接电脑的吗,收货注意，我只有一边响，这是有问题的，不和客服说就吃亏了，哎，麻烦
100013019911,6,是USB接电脑的吗,是的
100013019911,6,是USB接电脑的吗,是的
100013019911,6,是USB接电脑的吗,对，usb接电脑
100013019911,6,是USB接电脑的吗,对
100013019911,6,是USB接电脑的吗,是
100013019911,6,是USB接电脑的吗,是的，但是不建议买
100008806027,10,音亮够大吗,真心挺好
100008806027,10,音亮够大吗,夠大，便宜又好用
100008806027,10,音亮够大吗,够大
100008806027,10,音亮够大吗,还行挺好的
100008806027,10,音亮够大吗,可以
100008806027,10,音亮够大吗,够大，外观挺好看，但是我觉得重低音有点重，而且不能调节，有点瓮声瓮气的。
100008806027,10,音亮够大吗,够大
100008806027,10,音亮够大吗,我觉得音量还行。
100008806027,10,音亮够大吗,我个人觉得够用 声音质量也挺不错
100008806027,10,音亮够大吗,够用的，声音能调节
100013019911,7,这个麦克风别人听着清晰吗？,玩游戏时候听很小
100013019911,7,这个麦克风别人听着清晰吗？,根本听不到，声音巨小
100013019911,7,这个麦克风别人听着清晰吗？,说话别人压根听不见
100013019911,7,这个麦克风别人听着清晰吗？,效果凑合吧 游戏声音大的话有点杂音
100013019911,7,这个麦克风别人听着清晰吗？,可以的
100013019911,7,这个麦克风别人听着清晰吗？,不好
100013019911,7,这个麦克风别人听着清晰吗？,没用 不要带麦克风的 太拉了
100013019911,7,这个麦克风别人听着清晰吗？,不行，已经退了
100013019911,8,电流声很大怎么弄,都会有
100013019911,8,电流声很大怎么弄,一般
100013019911,8,电流声很大怎么弄,没有原包装和说明书能退货吗？
100013019911,8,电流声很大怎么弄,一般般没买好，音质也差
100013019911,8,电流声很大怎么弄,退货呗，我也有
100013019911,8,电流声很大怎么弄,我也有，开机就没有了
100013019911,8,电流声很大怎么弄,我直接退了
100061244069,1,你好，请问回音重吗,不重，挺正常的
100061244069,2,请问，买给孩子的音响酷洛米星际欢唱版，用不起来了，是不是音响一边充电一边使用造成的原因，谢谢！,无回答
100061244069,3,请问小朋友拿着是否重？四岁多,无回答
100013019911,10,为啥音响怎么都没有声音？,是不是接反了
100013019911,10,为啥音响怎么都没有声音？,接错了吧
100013019911,10,为啥音响怎么都没有声音？,要更新驱动，我刚开始也没有
100013019911,10,为啥音响怎么都没有声音？,换个u口试下。声音挺好的。
100013019911,10,为啥音响怎么都没有声音？,我买了两个都没事啊
100013019911,10,为啥音响怎么都没有声音？,我已经退了
100007940907,1,音质好吗,尚可
100007940907,1,音质好吗,音质很好，放心吧。
100007940907,1,音质好吗,对于这个价位来说，音质简直是太好了。
100007940907,1,音质好吗,音质还可以
100007940907,1,音质好吗,不错挺好！
100007940907,1,音质好吗,还行、就是声音不大
100007940907,1,音质好吗,可以
100007940907,1,音质好吗,还可以   个人比较喜欢
100007940907,1,音质好吗,能听一天半。音质还可以
100007940907,1,音质好吗,音质不错
100007940907,2,内带电池吗,充电满听一天没问题亲试
100007940907,2,内带电池吗,带电池的
100007940907,2,内带电池吗,充电的
100007940907,2,内带电池吗,内有电池
100007940907,2,内带电池吗,嗯
100007940907,2,内带电池吗,带充电电池
100007940907,2,内带电池吗,电线充电的
100007940907,2,内带电池吗,充电的，我用好久了还没有充电
100007940907,2,内带电池吗,有电池
100007940907,3,自带内存卡？,不带
100007940907,3,自带内存卡？,不带的
100007940907,3,自带内存卡？,可插内存卡
100007940907,3,自带内存卡？,不带
100007940907,3,自带内存卡？,可以插内存卡
100007940907,3,自带内存卡？,没有内存卡，需要自己单独插卡，一般都是练接蓝牙用
100007940907,3,自带内存卡？,链接手机
100007940907,3,自带内存卡？,自带内存卡，也可以联网，网上有记录
100007940907,3,自带内存卡？,没有
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,有挂绳
100007940907,4,有挂绳吗,没有
100007940907,4,有挂绳吗,没有
100007940907,5,可以连手机嘛,蓝牙
100007940907,5,可以连手机嘛,可以
100007940907,5,可以连手机嘛,可以的
100007940907,5,可以连手机嘛,可以的。
100007940907,5,可以连手机嘛,可以
100007940907,5,可以连手机嘛,可以
100007940907,5,可以连手机嘛,可以连手机
100007940907,5,可以连手机嘛,可以，就价格来说，音质很好
100007940907,5,可以连手机嘛,可以
100007940907,6,播放时噪音有吗,不错，我感觉蛮好的。
100007940907,6,播放时噪音有吗,没有杂音
100007940907,6,播放时噪音有吗,没有
100007940907,6,播放时噪音有吗,声音大小了
100007940907,6,播放时噪音有吗,有电流声
100007940907,6,播放时噪音有吗,没有
100007940907,6,播放时噪音有吗,还不错
100007940907,6,播放时噪音有吗,没有
100007940907,6,播放时噪音有吗,还好，试听了，声音饱满
100007940907,6,播放时噪音有吗,小巧玲珑，可以的
100007940907,7,音量大吗,安静环境没问题，值这个钱吧，听音质的话&hellip;还是花点钱吧&hellip;～我后来又买一个别的。
100007940907,7,音量大吗,音量还是可以的，毕竟体积不大，在室内用完全没有问题！
